,ID,trial,chooseDes,whichWorld,chooseTV,desWorld,whatIsDes,seqLength,desCount,desProp,RT.lev,RT.raw,RT.log,aniFlagCount,outcomeDesSeq,correct,desPropC,evidForChoice,undesCount,desDiff,diffForChoice,itemsForChoiceCount,chooseDes.m,desWorldC,chooseDesC,chooseDesF,desWorldF,RTq5,timingFlag,timingRelative
232,34,X3,1,0,0,1,ph,5,4,0.8,456,2400,7.783224016,0,11101,1,0.3,0.8,1,3,3,4,1,1,1,chose desirable,desirable fac.,"(2.1e+03,3.34e+03]",FALSE,200
233,35,X3,0,1,1,0,ph,17,7,0.411764706,359,9279,9.135509061,0,1.10E+16,1,-0.088235294,0.588235294,10,-3,3,10,1,-1,-1,chose undesirable,undesirable fac.,"(8.01e+03,8.89e+04]",FALSE,479
234,36,X3,1,1,0,0,ph,10,5,0.5,1431,5195,8.555451904,0,110101100,0,0,0.5,5,0,0,5,0,-1,1,chose desirable,undesirable fac.,"(4.98e+03,8.01e+03]",FALSE,245
235,37,X3,1,0,1,0,tv,17,9,0.529411765,590,9128,9.119101892,0,1.10E+16,0,0.029411765,0.529411765,8,1,1,9,0,-1,1,chose desirable,undesirable fac.,"(8.01e+03,8.89e+04]",FALSE,328
236,38,X3,0,0,0,0,tv,19,7,0.368421053,3298,10049,9.215228406,2,1.00E+16,1,-0.131578947,0.631578947,12,-5,5,12,1,-1,-1,chose undesirable,undesirable fac.,"(8.01e+03,8.89e+04]",FALSE,149
237,39,X3,0,1,1,0,ph,9,3,0.333333333,1038,4457,8.402231173,0,100001100,1,-0.166666667,0.666666667,6,-3,3,6,1,-1,-1,chose undesirable,undesirable fac.,"(3.34e+03,4.98e+03]",FALSE,57
238,40,X3,1,1,0,0,ph,12,8,0.666666667,918,6241,8.738895705,0,1.10E+11,0,0.166666667,0.666666667,4,4,4,8,0,-1,1,chose desirable,undesirable fac.,"(4.98e+03,8.01e+03]",FALSE,191
239,41,X3,0,0,0,0,tv,9,4,0.444444444,660,4548,8.422442855,0,100111000,1,-0.055555556,0.555555556,5,-1,1,5,1,-1,-1,chose undesirable,undesirable fac.,"(3.34e+03,4.98e+03]",FALSE,148
240,42,X3,1,0,0,1,ph,5,4,0.8,210,2625,7.872836175,0,1111,1,0.3,0.8,1,3,3,4,1,1,1,chose desirable,desirable fac.,"(2.1e+03,3.34e+03]",FALSE,425
241,43,X3,0,0,1,1,ph,8,4,0.5,632,4115,8.322394113,0,1011001,0,0,0.5,4,0,0,4,0,1,-1,chose undesirable,desirable fac.,"(3.34e+03,4.98e+03]",FALSE,265
