,ID,trial,chooseDes,whichWorld,chooseTV,desWorld,whatIsDes,seqLength,desCount,desProp,RT.lev,RT.raw,RT.log,aniFlagCount,outcomeDesSeq,correct,desPropC,evidForChoice,undesCount,desDiff,diffForChoice,itemsForChoiceCount,chooseDes.m,desWorldC,chooseDesC,chooseDesF,desWorldF,RTq5,timingFlag,timingRelative
276,86,X3,1,1,1,1,tv,6,3,0.5,1638,2760,7.922985959,0,11100,1,0,0.5,3,0,0,3,1,1,1,chose desirable,desirable fac.,"(2.08e+03,3.23e+03]",FALSE,10
277,87,X3,0,1,1,0,ph,6,2,0.333333333,762,2930,7.982757702,0,100001,1,-0.166666667,0.666666667,4,-2,2,4,1,-1,-1,chose undesirable,undesirable fac.,"(2.08e+03,3.23e+03]",FALSE,180
278,88,X3,0,1,1,0,ph,8,3,0.375,1350,4272,8.359837381,0,1100001,1,-0.125,0.625,5,-2,2,5,1,-1,-1,chose undesirable,undesirable fac.,"(3.23e+03,4.69e+03]",FALSE,422
279,89,X3,1,1,1,1,tv,17,10,0.588235294,662,8877,9.091218941,0,1.01E+15,1,0.088235294,0.588235294,7,3,3,10,1,1,1,chose desirable,desirable fac.,"(7.41e+03,2.03e+05]",FALSE,77
281,91,X3,1,1,1,1,tv,18,12,0.666666667,1005,9383,9.14665482,0,1.11E+17,1,0.166666667,0.666666667,6,6,6,12,1,1,1,chose desirable,desirable fac.,"(7.41e+03,2.03e+05]",FALSE,33
282,92,X3,1,1,1,1,tv,8,6,0.75,201,3918,8.273336599,0,1110111,1,0.25,0.75,2,4,4,6,1,1,1,chose desirable,desirable fac.,"(3.23e+03,4.69e+03]",FALSE,68
283,93,X3,1,0,0,1,ph,5,3,0.6,2479,2559,7.847371836,0,11010,1,0.1,0.6,2,1,1,3,1,1,1,chose desirable,desirable fac.,"(2.08e+03,3.23e+03]",FALSE,359
284,94,X3,1,0,0,1,ph,9,7,0.777777778,1422,4639,8.442254105,0,110110111,1,0.277777778,0.777777778,2,5,5,7,1,1,1,chose desirable,desirable fac.,"(3.23e+03,4.69e+03]",FALSE,239
285,95,X3,0,0,0,0,tv,10,2,0.2,1006,5272,8.570165076,0,1001000000,1,-0.3,0.8,8,-6,6,8,1,-1,-1,chose undesirable,undesirable fac.,"(4.69e+03,7.41e+03]",FALSE,322
286,1,X4,1,1,0,0,ph,5,4,0.8,629,2223,7.706612914,0,11110,0,0.3,0.8,1,3,3,4,0,-1,1,chose desirable,undesirable fac.,"(2.08e+03,3.23e+03]",FALSE,23
287,2,X4,0,1,1,0,ph,6,3,0.5,1443,3037,8.018625465,0,110001,1,0,0.5,3,0,0,3,1,-1,-1,chose undesirable,undesirable fac.,"(2.08e+03,3.23e+03]",FALSE,287
288,3,X4,0,0,0,0,tv,6,0,0,468,3026,8.014996894,0,0,1,-0.5,1,6,-6,6,6,1,-1,-1,chose undesirable,undesirable fac.,"(2.08e+03,3.23e+03]",FALSE,276
289,4,X4,1,0,1,0,tv,8,4,0.5,2445,4341,8.375860015,2,1011010,0,0,0.5,4,0,0,4,0,-1,1,chose desirable,undesirable fac.,"(3.23e+03,4.69e+03]",FALSE,491
293,8,X4,1,1,1,1,tv,5,3,0.6,4345,2633,7.875879159,0,111,1,0.1,0.6,2,1,1,3,1,1,1,chose desirable,desirable fac.,"(2.08e+03,3.23e+03]",FALSE,433
294,9,X4,1,1,1,1,tv,5,4,0.8,1952,2679,7.89319887,2,11011,1,0.3,0.8,1,3,3,4,1,1,1,chose desirable,desirable fac.,"(2.08e+03,3.23e+03]",FALSE,479
296,11,X4,0,0,0,0,tv,6,1,0.166666667,995,2997,8.005367067,0,1,1,-0.333333333,0.833333333,5,-4,4,5,1,-1,-1,chose undesirable,undesirable fac.,"(2.08e+03,3.23e+03]",FALSE,247
297,12,X4,1,0,0,1,ph,11,8,0.727272727,781,5957,8.692322278,0,1011011111,1,0.227272727,0.727272727,3,5,5,8,1,1,1,chose desirable,desirable fac.,"(4.69e+03,7.41e+03]",FALSE,457
298,13,X4,1,1,1,1,tv,3,2,0.666666667,1018,1459,7.285506549,0,110,1,0.166666667,0.666666667,1,1,1,2,1,1,1,chose desirable,desirable fac.,"[1,2.08e+03]",FALSE,359
299,14,X4,1,1,1,1,tv,4,3,0.75,471,1834,7.514254653,2,1110,1,0.25,0.75,1,2,2,3,1,1,1,chose desirable,desirable fac.,"[1,2.08e+03]",FALSE,184
300,15,X4,0,1,0,1,tv,5,2,0.4,190,2543,7.841099765,0,1001,0,-0.1,0.6,3,-1,1,3,0,1,-1,chose undesirable,desirable fac.,"(2.08e+03,3.23e+03]",FALSE,343
301,16,X4,0,0,0,0,tv,7,1,0.142857143,478,3769,8.234564993,0,10000,1,-0.357142857,0.857142857,6,-5,5,6,1,-1,-1,chose undesirable,undesirable fac.,"(3.23e+03,4.69e+03]",FALSE,469
302,17,X4,0,1,1,0,ph,6,3,0.5,646,3192,8.068402959,0,100101,1,0,0.5,3,0,0,3,1,-1,-1,chose undesirable,undesirable fac.,"(2.08e+03,3.23e+03]",FALSE,442
303,18,X4,0,1,1,0,ph,10,5,0.5,514,5468,8.606668198,0,11101001,1,0,0.5,5,0,0,5,1,-1,-1,chose undesirable,undesirable fac.,"(4.69e+03,7.41e+03]",FALSE,518
304,19,X4,1,1,1,1,tv,29,21,0.724137931,863,15408,9.642642134,0,1.01E+28,1,0.224137931,0.724137931,8,13,13,21,1,1,1,chose desirable,desirable fac.,"(7.41e+03,2.03e+05]",FALSE,8
305,20,X4,1,0,0,1,ph,4,3,0.75,367,1872,7.534762657,0,111,1,0.25,0.75,1,2,2,3,1,1,1,chose desirable,desirable fac.,"[1,2.08e+03]",FALSE,222
306,21,X4,1,0,1,0,tv,10,4,0.4,775,5343,8.583542572,0,100110100,0,-0.1,0.4,6,-2,-2,4,0,-1,1,chose desirable,undesirable fac.,"(4.69e+03,7.41e+03]",FALSE,393
307,22,X4,0,1,1,0,ph,15,5,0.333333333,793,8138,9.004299729,7,1.01E+13,1,-0.166666667,0.666666667,10,-5,5,10,1,-1,-1,chose undesirable,undesirable fac.,"(7.41e+03,2.03e+05]",FALSE,438
308,23,X4,0,1,1,0,ph,4,0,0,861,2187,7.690286021,0,0,1,-0.5,1,4,-4,4,4,1,-1,-1,chose undesirable,undesirable fac.,"(2.08e+03,3.23e+03]",FALSE,537
309,24,X4,1,1,0,0,ph,10,6,0.6,655,5088,8.534640105,0,1011010110,0,0.1,0.6,4,2,2,6,0,-1,1,chose desirable,undesirable fac.,"(4.69e+03,7.41e+03]",FALSE,138
310,25,X4,0,0,0,0,tv,7,1,0.142857143,247,3488,8.157083785,0,1000000,1,-0.357142857,0.857142857,6,-5,5,6,1,-1,-1,chose undesirable,undesirable fac.,"(3.23e+03,4.69e+03]",FALSE,188
311,26,X4,1,1,0,0,ph,16,9,0.5625,682,8314,9.02569612,0,1.10E+15,0,0.0625,0.5625,7,2,2,9,0,-1,1,chose desirable,undesirable fac.,"(7.41e+03,2.03e+05]",FALSE,64
312,27,X4,0,0,0,0,tv,12,5,0.416666667,663,6112,8.718009331,0,1.10E+11,1,-0.083333333,0.583333333,7,-2,2,7,1,-1,-1,chose undesirable,undesirable fac.,"(4.69e+03,7.41e+03]",FALSE,62
313,28,X4,0,0,0,0,tv,8,2,0.25,669,3927,8.275631055,0,10001000,1,-0.25,0.75,6,-4,4,6,1,-1,-1,chose undesirable,undesirable fac.,"(3.23e+03,4.69e+03]",FALSE,77
314,29,X4,0,0,1,1,ph,17,7,0.411764706,1415,9192,9.12608882,0,1.10E+14,0,-0.088235294,0.588235294,10,-3,3,10,0,1,-1,chose undesirable,desirable fac.,"(7.41e+03,2.03e+05]",FALSE,392
