,ID,trial,chooseDes,whichWorld,chooseTV,desWorld,whatIsDes,seqLength,desCount,desProp,RT.lev,RT.raw,RT.log,aniFlagCount,outcomeDesSeq,correct,desPropC,evidForChoice,undesCount,desDiff,diffForChoice,itemsForChoiceCount,chooseDes.m,desWorldC,chooseDesC,chooseDesF,desWorldF,RTq5,timingFlag,timingRelative
251,51,X3,1,1,1,1,tv,34,22,0.647058824,1762,18432,9.821843563,3,1.01E+33,1,0.147058824,0.647058824,12,10,10,22,1,1,1,chose desirable,desirable fac.,"(9.1e+03,1.77e+05]",FALSE,282
253,53,X3,1,1,1,1,tv,11,6,0.545454545,603,5777,8.661639796,0,101001111,1,0.045454545,0.545454545,5,1,1,6,1,1,1,chose desirable,desirable fac.,"(3.81e+03,5.83e+03]",FALSE,277
254,54,X3,1,1,0,0,ph,6,6,1,452,2991,8.003363059,0,111111,0,0.5,1,0,6,6,6,0,-1,1,chose desirable,undesirable fac.,"(2.26e+03,3.81e+03]",FALSE,241
255,55,X3,0,0,0,0,tv,23,11,0.47826087,1433,12520,9.435082645,0,1.10E+19,1,-0.02173913,0.52173913,12,-1,1,12,1,-1,-1,chose undesirable,undesirable fac.,"(9.1e+03,1.77e+05]",FALSE,420
256,56,X3,1,1,1,1,tv,33,22,0.666666667,1624,17796,9.786728992,0,1.00E+30,1,0.166666667,0.666666667,11,11,11,22,1,1,1,chose desirable,desirable fac.,"(9.1e+03,1.77e+05]",FALSE,196
257,57,X3,0,0,0,0,tv,26,8,0.307692308,1735,14083,9.552723675,4,1.00E+25,1,-0.192307692,0.692307692,18,-10,10,18,1,-1,-1,chose undesirable,undesirable fac.,"(9.1e+03,1.77e+05]",FALSE,333
258,58,X3,1,1,1,1,tv,14,10,0.714285714,779,7513,8.924390132,0,1.11E+13,1,0.214285714,0.714285714,4,6,6,10,1,1,1,chose desirable,desirable fac.,"(5.83e+03,9.1e+03]",FALSE,363
259,59,X3,1,0,0,1,ph,17,11,0.647058824,478,8937,9.097955241,0,1.01E+15,1,0.147058824,0.647058824,6,5,5,11,1,1,1,chose desirable,desirable fac.,"(5.83e+03,9.1e+03]",FALSE,137
260,60,X3,1,1,1,1,tv,9,6,0.666666667,93,4530,8.418477218,1,1110111,1,0.166666667,0.666666667,3,3,3,6,1,1,1,chose desirable,desirable fac.,"(3.81e+03,5.83e+03]",FALSE,130
261,61,X3,0,1,0,1,tv,7,3,0.428571429,703,3449,8.145839613,0,110100,0,-0.071428571,0.571428571,4,-1,1,4,0,1,-1,chose undesirable,desirable fac.,"(2.26e+03,3.81e+03]",FALSE,149
262,62,X3,1,1,1,1,tv,27,17,0.62962963,711,14553,9.585552437,0,1.10E+26,1,0.12962963,0.62962963,10,7,7,17,1,1,1,chose desirable,desirable fac.,"(9.1e+03,1.77e+05]",FALSE,253
263,63,X3,0,0,0,0,tv,11,4,0.363636364,525,5768,8.660080679,0,10100010001,1,-0.136363636,0.636363636,7,-3,3,7,1,-1,-1,chose undesirable,undesirable fac.,"(3.81e+03,5.83e+03]",FALSE,268
264,64,X3,1,1,1,1,tv,9,9,1,780,4567,8.426611813,0,111111111,1,0.5,1,0,9,9,9,1,1,1,chose desirable,desirable fac.,"(3.81e+03,5.83e+03]",FALSE,167
265,65,X3,1,1,1,1,tv,9,8,0.888888889,2742,4551,8.423102268,0,11111111,1,0.388888889,0.888888889,1,7,7,8,1,1,1,chose desirable,desirable fac.,"(3.81e+03,5.83e+03]",FALSE,151
266,66,X3,1,0,0,1,ph,6,5,0.833333333,1305,2958,7.992268643,0,111011,1,0.333333333,0.833333333,1,4,4,5,1,1,1,chose desirable,desirable fac.,"(2.26e+03,3.81e+03]",FALSE,208
267,67,X3,1,0,0,1,ph,14,7,0.5,885,7278,8.892611378,0,1.10E+12,1,0,0.5,7,0,0,7,1,1,1,chose desirable,desirable fac.,"(5.83e+03,9.1e+03]",FALSE,128
268,68,X3,0,0,0,0,tv,3,1,0.333333333,752,1279,7.153833802,0,1,1,-0.166666667,0.666666667,2,-1,1,2,1,-1,-1,chose undesirable,undesirable fac.,"[0,2.26e+03]",FALSE,179
269,69,X3,1,1,1,1,tv,15,11,0.733333333,2497,7983,8.98506956,0,1.11E+13,1,0.233333333,0.733333333,4,7,7,11,1,1,1,chose desirable,desirable fac.,"(5.83e+03,9.1e+03]",FALSE,283
270,70,X3,1,0,0,1,ph,11,8,0.727272727,664,5928,8.687442167,0,1010111111,1,0.227272727,0.727272727,3,5,5,8,1,1,1,chose desirable,desirable fac.,"(5.83e+03,9.1e+03]",FALSE,428
271,71,X3,0,0,1,1,ph,4,0,0,550,2128,7.66293785,0,0,0,-0.5,1,4,-4,4,4,0,1,-1,chose undesirable,desirable fac.,"[0,2.26e+03]",FALSE,478
272,72,X3,0,1,1,0,ph,11,2,0.181818182,1256,5960,8.69282576,0,100100000,1,-0.318181818,0.818181818,9,-7,7,9,1,-1,-1,chose undesirable,undesirable fac.,"(5.83e+03,9.1e+03]",FALSE,460
273,73,X3,1,0,0,1,ph,18,8,0.444444444,670,9567,9.166074956,0,1.10E+14,1,-0.055555556,0.444444444,10,-2,-2,8,1,1,1,chose desirable,desirable fac.,"(9.1e+03,1.77e+05]",FALSE,217
274,74,X3,1,0,0,1,ph,19,11,0.578947368,1047,10024,9.212737497,0,1.11E+18,1,0.078947368,0.578947368,8,3,3,11,1,1,1,chose desirable,desirable fac.,"(9.1e+03,1.77e+05]",FALSE,124
275,75,X3,1,1,0,0,ph,22,10,0.454545455,742,11728,9.369734424,0,1.00E+21,0,-0.045454545,0.454545455,12,-2,-2,10,0,-1,1,chose desirable,undesirable fac.,"(9.1e+03,1.77e+05]",FALSE,178
276,76,X3,1,0,0,1,ph,20,13,0.65,990,10695,9.277531622,0,1.11E+16,1,0.15,0.65,7,6,6,13,1,1,1,chose desirable,desirable fac.,"(9.1e+03,1.77e+05]",FALSE,245
278,78,X3,1,0,0,1,ph,5,4,0.8,223,2440,7.799753318,0,10111,1,0.3,0.8,1,3,3,4,1,1,1,chose desirable,desirable fac.,"(2.26e+03,3.81e+03]",FALSE,240
279,79,X3,0,0,1,1,ph,2,0,0,534,860,6.756932389,0,0,0,-0.5,1,2,-2,2,2,0,1,-1,chose undesirable,desirable fac.,"[0,2.26e+03]",FALSE,310
280,80,X3,0,1,0,1,tv,17,6,0.352941176,2440,8960,9.100525506,0,1.10E+11,0,-0.147058824,0.647058824,11,-5,5,11,0,1,-1,chose undesirable,desirable fac.,"(5.83e+03,9.1e+03]",FALSE,160
281,81,X3,1,1,1,1,tv,16,14,0.875,823,8736,9.075207698,0,1.01E+15,1,0.375,0.875,2,12,12,14,1,1,1,chose desirable,desirable fac.,"(5.83e+03,9.1e+03]",FALSE,486
282,82,X3,0,1,1,0,ph,9,3,0.333333333,5574,4663,8.447414297,0,11000001,1,-0.166666667,0.666666667,6,-3,3,6,1,-1,-1,chose undesirable,undesirable fac.,"(3.81e+03,5.83e+03]",FALSE,263
283,83,X3,1,0,0,1,ph,19,12,0.631578947,3667,10384,9.248021439,0,1.00E+17,1,0.131578947,0.631578947,7,5,5,12,1,1,1,chose desirable,desirable fac.,"(9.1e+03,1.77e+05]",FALSE,484
